asset_id_base,rates
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ARS', 'rate': 10748385.806039715}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ARTII', 'rate': 51195221.52813342}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ARTR', 'rate': 8863773.735159544}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ARV', 'rate': 346349804.62071526}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ARW', 'rate': 180418.9905873719}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ARX', 'rate': 8102909.236460008}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ASD', 'rate': 617710.0820522257}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ASM', 'rate': 2214000.9846731196}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ASR', 'rate': 10859.14521217003}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AST', 'rate': 284601.37819496944}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ASTR', 'rate': 430480.29057474306}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ASTR3L', 'rate': 71658.4272260479}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ASTR3S', 'rate': 29175.477888893616}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ASTRA', 'rate': 81678.25493098349}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ATA', 'rate': 172036.77225468072}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ATK', 'rate': 19977528.622532032}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ATLAS', 'rate': 8304991.365478155}"
